번호,우선순위,업체명,카테고리,홈페이지,대표전화,이메일,문의채널,소재지,주요취급품목,중국자체소싱망,선정이유,출처URL
11,상,페스룸((주)비엠스마일),OEM 온라인브랜드·패키징,https://pethroom.com,,,"카카오톡채널 https://pf.kakao.com/_rVWpj / 개인 메일로 보여 제외, 대표 메일 확인 필요",서울 강남구,"반려동물 욕실·위생용품, 의류·액세서리, 반려동물 라이프스타일 용품","불명(자체 공장 언급 없음, 소규모 반려용품 제작에서 시작한 브랜드)",자체 공장 없이 다품종 반려용품을 기획·판매하는 온라인 브랜드로 중국 OEM 생산 파트너 수요가 크다.,https://pethroom.com/
12,상,하밋(HAMIT),OEM 온라인브랜드·패키징,https://hamit.kr,,,https://hamit.kr/,,"반려동물 하우스·가구형 휴식 공간(룩앳미 하우스), 반려동물 생활용품","약함(원단·원목·철제·봉제 등 7개 외부 제조사 협업으로 생산, 자체 공장 없음)",다수 외주 제조사에 의존해 제품을 만드는 디자인 중심 브랜드라 원가 절감을 위한 중국 OEM 파트너 수요가 높다.,https://openads.co.kr/content/contentDetail?contsId=17861
13,상,(주)온오프마켓 (온오프판촉물),관공서·학교·금융·프랜차이즈 판촉 납품업체,https://pr.onoffmarket.com/,1544-5269,onoff@onoffmarket.com,"https://www.onoffmarket.com/ (온오프마켓 본몰), https://store.onoffmarket.com/",고양 일산동구,"단체 기념품·답례품·창립기념품·임직원선물·비즈니스선물, 위생용품·안전용품 (여성기업 공공기관 우선구매대상)",불명(검색결과에 중국 공장/지사 언급 없음),여성기업 인증으로 공공기관 우선구매 대상에 등록된 판촉·안전·위생용품 종합 유통사로 공공 납품 물량 대응을 위한 중국 소싱 파트너 수요가 높을 것으로 판단됨.,https://bizno.net/article/1058805007
14,상,판촉물도매백화점 (판촉물인쇄기프트 / REDLOOZ),관공서·학교·금융·프랜차이즈 판촉 납품업체,https://87dept.com/,,87@redlooz.co.kr,"전화번호 형식 의심(015-8504-6667), 홈페이지에서 확인 필요",서울,"판촉물 대량구매 도매, 기념품·답례품·사은품 인쇄 제작 (차량용 디퓨저, 모자, 담요세트, 스카프, 지압기, 자개USB 등)",불명(검색결과에 중국 공장/지사 언급 없음; 도매상품 중심),도매 대량구매를 전면에 내세우고 차량용품·모자·스카프 등 중국 생산 비중이 높은 범용 품목을 다수 취급해 안정적인 중국 소싱 파트너 수요가 클 것으로 판단됨.,https://87dept.com/
15,상,(주)서울부스애드컴,광고·BTL·행사대행사,https://www.seouladcom.co.kr,02-6959-4488,seoul6004@naver.com,https://seoulpr.co.kr/CONTACT,서울 영등포구,"전시부스(목공·블럭·옥타늄·트러스), 전시기획, 컨퍼런스·이벤트 부스, 포토존, 축제·행사 기획","약함(전시부스 기획·시공 전문, 중국 거점 언급 없음)",전국 전시장 지정 부스 기획업체로 전시·행사 건수가 많아 부스 연출 소품과 행사 판촉물을 반복 조달하므로 중국 생산·검수·운송 일괄 파트너의 가치가 높다.,https://www.seouladcom.co.kr/ ; https://www.114.co.kr/search/detail?comp_id=1778158&comp_tp_cd=INT&upjong_cd=839920
16,상,(주)조인트크리에이티브,광고·BTL·행사대행사,https://www.jcccom.co.kr,02-3443-2631,jcc2713@jcccom.co.kr,https://jcccom.co.kr/sub.php (견적·상담 070-8146-3402),서울 강남구,"이벤트 프로모션(BTL), 팝업스토어, 전시·부스, 시즌 프로모션, 무대행사, 온·오프라인 통합 마케팅",불명(자체 브랜드 제품(이어프리 마스크밴드) 제작 이력은 있으나 중국 지사·공장 언급 없음),2001년 설립된 온·오프라인 통합 에이전시로 팝업스토어·시즌 프로모션 등 BTL 행사를 상시 수행하며 자체 굿즈 기획 경험까지 있어 중국 생산 소싱 파트너와 결합 효과가 크다.,https://www.jcccom.co.kr/ ; https://jcccom.co.kr/sub.php?pageState=product_btl
17,상,(주)크림커뮤니케이션,광고·BTL·행사대행사,http://www.creamcomm.co.kr,02-542-2671,soda@creamcomm.co.kr,https://www.creamsoda.co.kr/cs/01/,서울 강남구,"기업행사, 콘서트, 축제, 전시, 프로모션·이벤트, 사회공헌 행사, 콘텐츠·디자인","약함(순수 BTL 대행사, 중국 지사·공장 언급 없음)","프로모션·이벤트 사업부가 대기업 행사를 연간 수백 건 수행하는 BTL 전문 대행사로, 행사별 굿즈·기념품·판촉물을 외주 제작에 의존하므로 중국 소싱 파트너 수요가 높다.",https://www.creamsoda.co.kr/story/03/v/39 ; https://www.114.co.kr/search/detail?comp_id=973606&comp_tp_cd=INT&upjong_cd=711000
18,상,가현기획,광고·BTL·행사대행사,https://gahyun.kr,031-423-6684,6684@gahyun.kr,https://gahyun.kr/about/overview.asp,경기 안양시 동안구,"전시회·박람회 부스 및 기업홍보관 설계·시공·운영, 컨벤션, 워크숍, 사내행사 기획·제작","약함(국내 전시·행사 제작 대행, 중국 공장·지사 언급 없음)","전시부스 시공과 컨벤션·사내행사를 함께 대행하며 세종·안양 2개 거점을 운영하는 중견 기획사로, 행사 기념품·홍보물 물량이 꾸준해 중국 생산 파트너 활용 여지가 크다.",https://gahyun.kr/about/overview.asp ; https://www.saramin.co.kr/zf_user/company-info/view/csn/VVptZktVaXp3UStyOHAzeFNWUU1OQT09/company_nm/%EA%B0%80%ED%98%84%EA%B8%B0%ED%9A%8D
19,상,바나나팩토리,소규모 판촉물·패키징 중개벤더,https://bananafactory.kr,1522-3852,,https://bananafactory.kr/category/%ED%8C%90%EC%B4%89%EB%AC%BC/344/,서울 동대문구 청량리동,"판촉물(마이보틀·텀블러·장바구니·인주함 등), 광고용품·POP소품·다이어리 소량 100개~ 주문제작",불명 — 자체 공장·중국 소싱 언급 없음,동대문 소재 개인사업자 판촉물 쇼핑몰로 100개 단위 소량 로고 인쇄 판촉물을 취급해 중국 OEM 소싱 협업 적합.,https://bananafactory.kr/product/%ED%8C%90%EC%B4%89%EB%AC%BC-%ED%99%8D%EB%B3%B4-%EC%9D%B8%EC%87%84-%EB%A7%88%EC%9D%B4%EB%B3%B4%ED%8B%80500ml-%EC%A3%BC%EB%AC%B8%EC%A0%9C%EC%9E%91-100%EA%B0%9C/50379/
20,상,박스메이커스(팩토리엠),소규모 판촉물·패키징 중개벤더,https://www.boxmakers.co.kr,02-2263-9275,make@factorym.co.kr,https://www.boxmakers.co.kr/portfolio,서울 중구 퇴계로(충무로 인근),브랜드 패키지 박스·골판지합지박스·손잡이박스 주문제작,불명 — 자체 공장·중국 소싱 언급 없음,충무로 인쇄골목 인근 개인사업자 규모의 패키지 박스 중개 벤더로 브랜드 박스 소량 주문을 외주 생산하는 타깃.,https://boxmakers.co.kr/
21,상,신시어리,소규모 판촉물·패키징 중개벤더,https://sincerely.one,070-7169-1306,ask@sincerely.one,https://sincerely.one/faq,서울 성동구,"브랜드 굿즈(볼캡·의류·문구·리빙), 기업 판촉·선물용 굿즈",불명 — 사이트에 자체 공장·중국 지사 언급 없음,성수 기반 소규모 브랜드 굿즈 스튜디오로 기업 마케팅팀 대상 소량 커스텀 굿즈를 기획·중개하는 전형적 타깃.,https://sincerely.one/about
22,상,에이블밤부,소규모 판촉물·패키징 중개벤더,https://able-bamboo.co.kr,031-976-9487,able-bamboo@able-bamboo.com,https://able-bamboo.co.kr/product/list.html?cate_no=467,경기 파주시,"기업 브랜드 굿즈, 친환경 키트·가방, 로고 장우산 등 기업 판촉물",불명 — 자체 공장·중국 소싱 언급 없음,파주 소재 기업 브랜드 굿즈 제작 전문 소규모 법인으로 대기업 로고 굿즈를 수주해 외주 생산하는 전형적 타깃.,https://able-bamboo.co.kr/
23,상,엠유플랜박스,소규모 판촉물·패키징 중개벤더,https://muplanbox.com,02-6409-6813,muplanbox@naver.com,https://muplanbox.com/shopinfo/company.html,서울 성동구 성수동,"포장박스·칼라박스·싸바리박스·골판지박스 소량 제작, 브랜드 패키지",불명 — 자체 공장·중국 소싱 언급 없음,성수동 소규모 패키지 제작 브랜드로 소량 브랜드 박스 수요를 받아 외주 생산하는 구조라 중국 패키지 소싱 협업 여지가 큼.,https://muplanbox.com/shopinfo/company.html
24,상,연패키지,소규모 판촉물·패키징 중개벤더,https://www.yeonpack.com,02-6956-1918,y_pack30@naver.com,https://www.yeonpack.com/box,서울 중구 을지로,화장품 단상자·디저트박스·선물박스·친환경 패키지 주문제작,불명 — 자체 공장·중국 소싱 언급 없음,을지로 인쇄골목 소재 개인사업자 규모의 패키지 중개 벤더로 브랜드 박스 소량 주문을 외주 생산하는 타깃.,https://www.yeonpack.com/
25,상,(주)더플러스 (요가몰 YOGAMALL),스포츠·헬스·재활용품 유통사/OEM브랜드,https://yogamall.co.kr,031-947-0808,tobe@theplus.biz,https://yogamall.co.kr,경기 파주시,"요가·필라테스 매트, 소도구, 리포머, 재활운동 용품, 프랭클린메소드 교육 (요가원·스튜디오 납품)","약함(요가·필라테스 전문 유통몰, 자체 공장 정보 없음)",요가원·필라테스 스튜디오 대상 전문 유통몰로 매트·소도구·재활용품 PB 개발 시 외부 중국 OEM 파트너가 필요함.,https://yogamall.co.kr
26,상,(주)브라이즈 (에이더 AIDER),스포츠·헬스·재활용품 유통사/OEM브랜드,https://aidershop.com,1566-3175,aider@bryze.kr,https://m.aidershop.com/article/qa/6/,서울 금천구,"무릎·손목·팔꿈치·발목 보호대, 스포츠 테이핑 등 관절 보호대 전문 브랜드 (물리치료사 개발)","불명(브랜드 기획·개발 중심, 자체 공장 여부 미공개)",보호대 전문 온라인 브랜드로 물리치료사 기획 제품을 외주 생산하는 구조로 보여 보호대 OEM 제조 파트너와의 협업 적합성이 매우 높음.,https://aidershop.com
27,상,(주)앳플리 (ATFLEE),스포츠·헬스·재활용품 유통사/OEM브랜드,https://atflee.com,02-3445-7877,sales@atflee.com,https://atflee.com/shopinfo/guide.html,서울 강남구,"요가매트·필라테스매트·스마트 체성분 체중계·홈트레이닝 용품 (자체 브랜드 앳플리, 무신사·삼성 SmartThings 입점)","약함(디자인·앱 중심 온라인 브랜드, 자체 공장 정보 없음)",자체 공장 없이 브랜드·앱 중심으로 요가매트 등 홈트 용품을 운영하는 전형적인 OEM 브랜드로 중국 소싱 파트너 수요가 큼.,https://atflee.com/shopinfo/guide.html
28,상,(주)우성레포츠 (아리프 ALEAF),스포츠·헬스·재활용품 유통사/OEM브랜드,https://aleafsports.com,031-527-2338,aleaf@wsleports.com,https://aleafsports.com/faq,경기 남양주시 오남읍,요가매트·폼롤러·짐볼·허리보호대·웨이트/홈트 운동기구·키즈스포츠 용품 (자체 브랜드 아리프),"불명(온라인 브랜드 운영, 자체 공장 정보 미공개)",요가·필라테스·홈트 소도구를 자체 브랜드로 온라인 판매하며 허리보호대 등 보호대 라인까지 취급해 중국 OEM 소싱 파트너가 필요할 가능성이 높음.,https://aleafsports.com/Privacy
29,상,(주)코리아스포츠 (아이워너 IWANNA),스포츠·헬스·재활용품 유통사/OEM브랜드,https://korspo.com,031-573-3313,k-korspo@naver.com,https://www.korea-sports.co.kr/contact,경기 남양주시 오남읍,"폼롤러(EVA/EPP)·마사지볼·마사지스틱·무릎보호대·운동밴드·헬스소도구 (자체 브랜드 아이워너, 프로-스펙스 라이선스)",불명(자체 브랜드 제조·유통사이나 국내/중국 공장 보유 여부 사이트 확인 불가),폼롤러·마사지볼·보호대 등 수십 종의 자체 브랜드 품목을 운영하는 종합 헬스소도구 유통사로 품목 확장·원가 절감을 위한 중국 OEM 파트너 수요가 큼.,https://korspo.com/shopinfo/company.html
30,상,SJ코리아,스포츠·헬스·재활용품 유통사/OEM브랜드,http://www.sjkorea.co.kr,,,http://www.sjkorea.co.kr,,"정형외과용 소모품(물리치료/통증치료, 캐스트/스프린트, 브레이스·보호대)","불명(정형외과 소모품 유통, 제조 정보 미확인)",정형외과·물리치료실 대상 브레이스·보호대 소모품 전문 유통사로 의료용 보호대 OEM 공급 파트너 수요가 직접적임.,http://www.sjkorea.co.kr/shop/goods/goods_list.php?category=009003006
31,상,메디브랜드(병원마켓) / (주)이을커뮤니케이션아임,제약·의료·치과 판촉물 벤더,https://www.medibrand.co.kr/,1666-6973 / 070-4150-1731,medibrand@naver.com,https://www.medibrand.co.kr/service/cooperation.php,서울 서초구,"병·의원/치과 개원패키지, 판촉물, 명함, 쇼핑백, 캘린더, 의료진 포스터","불명 (자체 중국공장·지사 언급 없음, 병원 디자인·인쇄 위주)",900개 이상 병·의원 런칭 실적의 병원·치과 전문 디자인마켓으로 판촉물·개원패키지를 취급해 중국 생산 굿즈 공급 협업 여지가 큼.,https://www.medibrand.co.kr/service/cooperation.php
32,상,하이어기프트,제약·의료·치과 판촉물 벤더,https://cases.higher-gift.com/,1533-4855,highergift@naver.com,https://cases.higher-gift.com/contact/,,기업·관공서·학교·병원·단체 판촉물·기념품 (제품 선정~인쇄·포장·납품),불명 (자체 공장·중국지사 언급 없음),병원 판촉물 납품사례를 별도 사이트로 운영하는 소규모 중개 벤더로 자체 공장이 없어 중국 생산 파트너 수요가 있을 것으로 판단됨.,https://cases.higher-gift.com/contact/
33,상,매일매일디자인,캐릭터·IP·팬굿즈 기획사,https://www.elmogoon.com/,,elshop@naver.com,https://www.elmogoon.com/ (홈페이지 문의),,"IP 캐릭터 굿즈 기획·제작, 굿즈·패키지 OEM, 브랜딩","불명(디자인 스튜디오, 생산 거점 언급 없음)",IP 캐릭터 굿즈와 패키지 OEM을 기획하는 소규모 디자인 스튜디오로 제조는 전량 외주라 중국 소싱 파트너 필요성이 크다.,https://www.elmogoon.com/ ; https://www.facebook.com/elmogoon0980/
34,상,엑스디컨스트럭트(XDT),캐릭터·IP·팬굿즈 기획사,https://xdeconstruct.com/,,xd@xdeconstruct.com,https://xdeconstruct.com/ (온라인 제작 문의),서울 중구,"아이돌·브랜드 굿즈 OEM/ODM(금속 키링, 주얼리, 헤어 액세서리, 패키지), 소량·대량 제작","불명(기획·샘플·생산·검수·납품 일괄 진행 표기, 자체 공장·중국 거점 언급 없음)",아이돌 MD용 금속 키링·주얼리 등 중국 생산 의존도가 높은 품목을 OEM/ODM으로 기획하는 소규모 업체라 안정적인 중국 소싱 파트너가 유용하다.,https://m.xdeconstruct.com/product/list_thumb.html?cate_no=42 ; https://xdeconstruct.com/
35,상,클로스업(ClawsUp),캐릭터·IP·팬굿즈 기획사,https://clawsup.com/,,,https://clawsup.com/ (홈페이지 제작 문의),경기 부천시 소사구,"캐릭터 토이 디자인, ABS/PVC 사출 피규어 양산, 소프트비닐·폴리레진 아트토이, 실리콘·러버 캐릭터 굿즈","불명(소량~1천개 이상 대량 생산 가능 표기, 금형·양산 거점 미공개)",기업·프로스포츠·웹툰·지자체 캐릭터의 사출 피규어를 디자인해 양산하는 토이 디자인 업체로 금형·사출 양산은 중국 공장 의존도가 높아 소싱 파트너 수요가 크다.,https://clawsup.com/ ; https://www.emis.com/php/company-profile/KR/Clawsup_Inc_en_23408343.html
36,상,허쉬위쉬(HUSHWISH),캐릭터·IP·팬굿즈 기획사,https://www.hushwish.com/,,hello@hushwish.com,"https://www.hushwish.com/contact_form/ (프로젝트 의뢰·제작 문의, 회사 계정 이메일만 접수)",,"캐릭터 개발·라이선싱, 기업 캐릭터 굿즈 기획, 이모티콘·애니메이션 콘텐츠",불명(디자인·라이선싱 스튜디오로 생산 거점 언급 없음),자체 라이선싱 캐릭터와 기업 캐릭터 굿즈를 기획하지만 제조 기능이 없는 디자인 스튜디오라 상품화 단계에서 중국 소싱 파트너가 필요하다.,https://www.hushwish.com/contact_form/ ; https://www.hushwish.com/post_character/hushwish_licensing/
37,상,굿픽 스튜디오(GOODPIC STUDIO),캐릭터·IP·팬굿즈 기획사 · 판촉물·굿즈 제작대행사,https://goodpicstudio.com/,070-8244-9005,contact@goodpic.co.kr,https://goodpicstudio.com/contact/,,굿즈 OEM/ODM 제작 전반(캐릭터·브랜드 굿즈) / 굿즈 OEM/ODM 기획·제작,불명(OEM&ODM 전문 표기만 있고 생산 거점 언급 없음),OEM/ODM 굿즈 기획을 표방하는 소규모 스튜디오로 생산은 외부 공장에 의존하는 구조라 중국 소싱 파트너 제안에 열려 있을 가능성이 높다. / 소규모 OEM/ODM 굿즈 스튜디오로 자체 제조설비 언급이 없어 중국 생산 파트너 의존도가 높을 것으로 보인다.,https://goodpicstudio.com/ ; https://goodpicstudio.com/contact/
38,상,다이버(DiiVER),캐릭터·IP·팬굿즈 기획사 · 판촉물·굿즈 제작대행사,https://diiver.kr/,02-466-0507,ask@diiver.kr,"https://diiver.kr/ (채팅 상담으로 견적 문의), https://diiver.kr/partner (파트너 입점)",서울 서대문구,"브랜드·캐릭터 굿즈 기획, 웰컴키트, 에코굿즈, 플레잉카드, 패키지·브랜딩 / 브랜드 굿즈 제작, 웰컴키트, 굿즈 스토어 운영대행","약함(경기 고양 '다이버 팩토리' 국내 생산 거점 보유, 중국 거점 언급 없음)",국내 팩토리로 소량 제작은 자체 처리하지만 대량 IP 굿즈나 공산품 품목은 중국 소싱이 필요할 수 있어 보조 파트너로 접근 가능하다. / 브랜딩·디자인 중심의 굿즈 에이전시로 제조는 외주 구조라 중국 생산 파트너 확보 수요가 크다.,https://diiver.kr/ ; https://www.diiver.kr/service
39,상,만상사,캐릭터·IP·팬굿즈 기획사 · 판촉물·굿즈 제작대행사,https://mansangsa.com/,1566-9437,biz@mansangsa.com,https://mansangsa.com/ (홈페이지 상담 신청 폼),서울 금천구,"게임·애니·웹툰·엔터 IP 굿즈, 인형/피규어 개발, OEM/ODM 상품, 단체복·키트, 해외 행사 MD / IP 굿즈, 기업 판촉물, 단체복, 웰컴키트, 인형·피규어 OEM/ODM","불명(전담 MD가 기획~검수·납품 일괄 진행, 자체 공장·중국 거점 언급 없음)",넥슨·크래프톤 등 IP 보유사 대상 인형·피규어·굿즈를 기획해 외주 생산하는 B2B 기획사로 자체 공장이 없어 중국 소싱 파트너가 필요할 가능성이 높다. / 국내 인쇄 설비 기반의 중견 굿즈 플랫폼이나 인형·피규어 등 해외 제작 품목은 외부 소싱망을 활용하므로 부분 협업 여지가 있다.,https://mansangsa.com/about ; https://mansangsa.com/dolls-figures
40,상,먼데이팩토리,캐릭터·IP·팬굿즈 기획사 · 판촉물·굿즈 제작대행사,https://mondayfactory.co.kr/,031-546-0340,goodday@mondaypicnic.co.kr,https://mondayfactory.co.kr/ (온라인 견적 문의),경기 성남시 분당구,"응원봉, 아크릴 스탠드·키링, 파우치, 에코백, 코스터, 웰컴키트, 캐릭터 굿즈·판촉물 / 퍼스널브랜딩 굿즈, 웰컴키트, 판촉물, 기념품(에코백, 문구, 생활소품)","불명(캐릭터사업·굿즈제작 원스톱 플랫폼 표기, 생산 거점 언급 없음)",응원봉·아크릴·잡화 등 중국 생산 비중이 큰 품목을 원스톱 기획하는 중소 업체로 자체 공장 언급이 없어 중국 소싱 파트너 제안 적합도가 높다. / 해외 소싱을 직접 한다고 하나 자체 현지 조직이 없어 안정적인 중국 생산·검수 파트너가 필요할 가능성이 높다.,https://m.mondayfactory.co.kr/shopinfo/company.html ; https://mondayfactory.co.kr/category/%EC%9D%91%EC%9B%90%EB%B4%89/586/
41,상,오즈의 제작소(콘콘),캐릭터·IP·팬굿즈 기획사 · 판촉물·굿즈 제작대행사,https://ozjejakso.com/,02-6735-3300,,"https://ozjejakso.com/ (1:1 전담 매니저 상담 신청), 카카오톡 채널 https://pf.kakao.com/_XFfQs",,"IP·캐릭터 굿즈, 피규어 굿즈, 페어 인기 굿즈, 기업 굿즈 전반(추천 알고리즘 기반 B2B 굿즈 제작 플랫폼) / 기업·IP 굿즈 추천/디자인/제작/배송 올인원, 대량 굿즈 제작","불명(제작 플랫폼으로 협력 제작처 연결 방식, 자체 공장·중국 거점 언급 없음)",2021년 설립된 B2B 굿즈 제작 매칭 플랫폼으로 자체 생산 설비 없이 다양한 품목을 외주로 처리하므로 중국 생산 파트너 풀 확보가 사업에 직접 도움이 된다. / 전담 PM이 다양한 굿즈를 기획·제작대행하는 구조라 자체 제조 없이 외부 생산 파트너 확보가 핵심이다.,https://ozjejakso.com/ ; https://www.nextunicorn.kr/company/38d1c9668ce44aa7
42,상,비더굿즈,판촉물·굿즈 제작대행사,https://bethegoods.shop/,,,"https://bethegoods.shop/ (제작 문의), 인스타그램 @bethegoods.shop",,"기업 웰컴키트, 신입사원 키트, 행사 굿즈, 친환경 굿즈 소량 제작",불명(자체 공장·중국 지사 언급 확인 안 됨),소량·빠른 납기 위주의 B2B 웰컴키트 대행사로 자체 제조가 없어 구성품 소싱 파트너가 필요할 수 있으나 연락처는 사이트 직접 확인 필요.,https://bethegoods.shop/welcome-kit
